,0,S&P 500
2010-11-10 00:00:00,0.04649243670093078,0.004366533972250401
2010-11-11 00:00:00,-0.009397021819828977,-0.004251149993643081
2010-11-12 00:00:00,0.02090098021458562,-0.0118787661411335
2010-11-15 00:00:00,-0.0022402443440938443,-0.0012181773615726707
2010-11-16 00:00:00,-0.021516118613256995,-0.016338157262196045
2010-11-17 00:00:00,0.003974288881889332,0.00021214037595554007
2010-11-18 00:00:00,0.013990049931547822,0.015240583051709866
2010-11-19 00:00:00,0.012609566074830703,0.0025371518606757387
2010-11-22 00:00:00,0.02028517462838575,-0.001576608344338756
2010-11-23 00:00:00,0.0011965518617515821,-0.014387032137559715
2010-11-24 00:00:00,0.023108182391906817,0.014812716261144523
2010-11-26 00:00:00,-0.002906244373168088,-0.007496592117888326
